domain	added	reason
google.fi	2026-09-07	initiator for rule 5006
google.mg	2026-09-07	initiator for rule 5006
google.ad	2026-09-07	initiator for rule 5006
google.com.eg	2026-09-07	initiator for rule 5006
google.co.il	2026-09-07	initiator for rule 5006
google.ie	2026-09-07	initiator for rule 5006
google.co.th	2026-09-07	initiator for rule 5006
google.bg	2026-09-07	initiator for rule 5006
google.at	2026-09-07	initiator for rule 5006
google.nl	2026-09-07	initiator for rule 5006
google.cz	2026-09-07	initiator for rule 5006
google.is	2026-09-07	initiator for rule 5006
google.ht	2026-09-07	initiator for rule 5006
google.com.np	2026-09-07	initiator for rule 5006
google.com.vn	2026-09-07	initiator for rule 5006
google.ee	2026-09-07	initiator for rule 5006
google.co.cr	2026-09-07	initiator for rule 5006
google.sk	2026-09-07	initiator for rule 5006
google.no	2026-09-07	initiator for rule 5006
google.pt	2026-09-07	initiator for rule 5006
google.lt	2026-09-07	initiator for rule 5006
google.co.kr	2026-09-07	initiator for rule 5006
google.com.mm	2026-09-07	initiator for rule 5006
google.com.jm	2026-09-07	initiator for rule 5006
google.dk	2026-09-07	initiator for rule 5006
google.be	2026-09-07	initiator for rule 5006
google.lk	2026-09-07	initiator for rule 5006
google.com.cy	2026-09-07	initiator for rule 5006
google.kg	2026-09-07	initiator for rule 5006
google.co.ao	2026-09-07	initiator for rule 5006
google.dz	2026-09-07	initiator for rule 5006
google.mw	2026-09-07	initiator for rule 5006
google.com.gh	2026-09-07	initiator for rule 5006
google.com.ng	2026-09-07	initiator for rule 5006
google.com.cn	2026-09-07	initiator for rule 5006
google.com.sv	2026-09-07	initiator for rule 5006
google.com.gt	2026-09-07	initiator for rule 5006
google.hn	2026-09-07	initiator for rule 5006
google.co.ke	2026-09-07	initiator for rule 5006
google.la	2026-09-07	initiator for rule 5006
google.co.ls	2026-09-07	initiator for rule 5006
google.com.ly	2026-09-07	initiator for rule 5006
google.li	2026-09-07	initiator for rule 5006
google.mv	2026-09-07	initiator for rule 5006
google.ml	2026-09-07	initiator for rule 5006
google.mu	2026-09-07	initiator for rule 5006
google.mc	2026-09-07	initiator for rule 5006
google.mn	2026-09-07	initiator for rule 5006
google.me	2026-09-07	initiator for rule 5006
google.co.mz	2026-09-07	initiator for rule 5006
google.com.na	2026-09-07	initiator for rule 5006
google.co.nz	2026-09-07	initiator for rule 5006
google.com.pg	2026-09-07	initiator for rule 5006
google.com.pr	2026-09-07	initiator for rule 5006
google.rw	2026-09-07	initiator for rule 5006
google.sm	2026-09-07	initiator for rule 5006
google.sn	2026-09-07	initiator for rule 5006
google.sc	2026-09-07	initiator for rule 5006
google.sl	2026-09-07	initiator for rule 5006
google.sb	2026-09-07	initiator for rule 5006
google.so	2026-09-07	initiator for rule 5006
google.sd	2026-09-07	initiator for rule 5006
google.sr	2026-09-07	initiator for rule 5006
google.sy	2026-09-07	initiator for rule 5006
google.com.tj	2026-09-07	initiator for rule 5006
google.co.tz	2026-09-07	initiator for rule 5006
google.tg	2026-09-07	initiator for rule 5006
google.to	2026-09-07	initiator for rule 5006
google.tn	2026-09-07	initiator for rule 5006
google.tm	2026-09-07	initiator for rule 5006
google.tv	2026-09-07	initiator for rule 5006
google.co.ug	2026-09-07	initiator for rule 5006
google.vu	2026-09-07	initiator for rule 5006
google.va	2026-09-07	initiator for rule 5006
google.com.ye	2026-09-07	initiator for rule 5006
google.co.zm	2026-09-07	initiator for rule 5006
google.co.zw	2026-09-07	initiator for rule 5006
www.google.fr	2026-09-07	initiator for rule 5006
www.google.co.uk	2026-09-07	initiator for rule 5006
www.google.ca	2026-09-07	initiator for rule 5006
www.google.de	2026-09-07	initiator for rule 5006
www.google.it	2026-09-07	initiator for rule 5006
www.google.es	2026-09-07	initiator for rule 5006
www.google.com.au	2026-09-07	initiator for rule 5006
www.google.co.in	2026-09-07	initiator for rule 5006
www.google.co.jp	2026-09-07	initiator for rule 5006
www.google.ru	2026-09-07	initiator for rule 5006
www.google.com.br	2026-09-07	initiator for rule 5006
www.google.com.mx	2026-09-07	initiator for rule 5006
www.google.co.za	2026-09-07	initiator for rule 5006
www.google.com.sg	2026-09-07	initiator for rule 5006
www.google.com.hk	2026-09-07	initiator for rule 5006
www.google.com.tw	2026-09-07	initiator for rule 5006
www.google.com.my	2026-09-07	initiator for rule 5006
www.google.co.id	2026-09-07	initiator for rule 5006
www.google.com.ph	2026-09-07	initiator for rule 5006
www.google.com.pk	2026-09-07	initiator for rule 5006
www.google.com.sa	2026-09-07	initiator for rule 5006
www.google.com.tr	2026-09-07	initiator for rule 5006
www.google.com.ar	2026-09-07	initiator for rule 5006
www.google.com.cl	2026-09-07	initiator for rule 5006
www.google.com.pe	2026-09-07	initiator for rule 5006
www.google.com.ve	2026-09-07	initiator for rule 5006
www.google.com.co	2026-09-07	initiator for rule 5006
www.google.com.ni	2026-09-07	initiator for rule 5006
www.google.com.uy	2026-09-07	initiator for rule 5006
www.google.com.bo	2026-09-07	initiator for rule 5006
www.google.com.pa	2026-09-07	initiator for rule 5006
www.google.com.ec	2026-09-07	initiator for rule 5006
www.google.com.do	2026-09-07	initiator for rule 5006
www.google.co	2026-09-07	initiator for rule 5006
www.google.com.lb	2026-09-07	initiator for rule 5006
www.google.com.jo	2026-09-07	initiator for rule 5006
www.google.com.qa	2026-09-07	initiator for rule 5006
www.google.com.kw	2026-09-07	initiator for rule 5006
www.google.com.om	2026-09-07	initiator for rule 5006
www.google.com.bh	2026-09-07	initiator for rule 5006
www.google.com.ae	2026-09-07	initiator for rule 5006
www.google.com.cu	2026-09-07	initiator for rule 5006
www.google.com.gi	2026-09-07	initiator for rule 5006
www.google.com.gg	2026-09-07	initiator for rule 5006
www.google.com.im	2026-09-07	initiator for rule 5006
www.google.com.je	2026-09-07	initiator for rule 5006
www.google.com.mt	2026-09-07	initiator for rule 5006
www.google.com.uz	2026-09-07	initiator for rule 5006
www.google.com.kz	2026-09-07	initiator for rule 5006
www.google.com.by	2026-09-07	initiator for rule 5006
www.google.com.md	2026-09-07	initiator for rule 5006
www.google.com.lv	2026-09-07	initiator for rule 5006
www.google.com.lt	2026-09-07	initiator for rule 5006
www.google.com.mk	2026-09-07	initiator for rule 5006
www.google.com.rs	2026-09-07	initiator for rule 5006
www.google.com.hr	2026-09-07	initiator for rule 5006
www.google.com.si	2026-09-07	initiator for rule 5006
www.google.com.bg	2026-09-07	initiator for rule 5006
www.google.com.ro	2026-09-07	initiator for rule 5006
www.google.com.ua	2026-09-07	initiator for rule 5006
www.google.com.am	2026-09-07	initiator for rule 5006
www.google.com.ge	2026-09-07	initiator for rule 5006
www.google.com.lu	2026-09-07	initiator for rule 5006
www.google.hu	2026-09-07	initiator for rule 5006
www.google.se	2026-09-07	initiator for rule 5006
www.google.com.py	2026-09-07	initiator for rule 5006
www.google.co.ma	2026-09-07	initiator for rule 5006
www.google.pl	2026-09-07	initiator for rule 5006
www.google.gr	2026-09-07	initiator for rule 5006
www.google.ch	2026-09-07	initiator for rule 5006
www.google.tt	2026-09-07	initiator for rule 5006
www.google.com.bd	2026-09-07	initiator for rule 5006
www.google.fi	2026-09-07	initiator for rule 5006
www.google.mg	2026-09-07	initiator for rule 5006
www.google.ad	2026-09-07	initiator for rule 5006
www.google.com.eg	2026-09-07	initiator for rule 5006
www.google.co.il	2026-09-07	initiator for rule 5006
www.google.ie	2026-09-07	initiator for rule 5006
www.google.co-th	2026-09-07	initiator for rule 5006
www.google.bg	2026-09-07	initiator for rule 5006
www.google.at	2026-09-07	initiator for rule 5006
www.google.nl	2026-09-07	initiator for rule 5006
www.google.cz	2026-09-07	initiator for rule 5006
www.google.is	2026-09-07	initiator for rule 5006
www.google.ht	2026-09-07	initiator for rule 5006
www.google.com.np	2026-09-07	initiator for rule 5006
www.google.com.vn	2026-09-07	initiator for rule 5006
www.google.ee	2026-09-07	initiator for rule 5006
www.google.co.cr	2026-09-07	initiator for rule 5006
www.google.sk	2026-09-07	initiator for rule 5006
www.google.no	2026-09-07	initiator for rule 5006
www.google.pt	2026-09-07	initiator for rule 5006
www.google.lt	2026-09-07	initiator for rule 5006
www.google.co.kr	2026-09-07	initiator for rule 5006
www.google.com.mm	2026-09-07	initiator for rule 5006
www.google.com.jm	2026-09-07	initiator for rule 5006
www.google.dk	2026-09-07	initiator for rule 5006
www.google.be	2026-09-07	initiator for rule 5006
www.google.lk	2026-09-07	initiator for rule 5006
www.google.com.cy	2026-09-07	initiator for rule 5006
www.google.kg	2026-09-07	initiator for rule 5006
www.google.co.ao	2026-09-07	initiator for rule 5006
www.google.dz	2026-09-07	initiator for rule 5006
www.google.mw	2026-09-07	initiator for rule 5006
www.google.com.gh	2026-09-07	initiator for rule 5006
www.google.com.ng	2026-09-07	initiator for rule 5006
www.google.com.cn	2026-09-07	initiator for rule 5006
www.google.com.sv	2026-09-07	initiator for rule 5006
www.google.com.gt	2026-09-07	initiator for rule 5006
www.google.hn	2026-09-07	initiator for rule 5006
www.google.co.ke	2026-09-07	initiator for rule 5006
www.google.la	2026-09-07	initiator for rule 5006
www.google.co.ls	2026-09-07	initiator for rule 5006
www.google.com.ly	2026-09-07	initiator for rule 5006
www.google.li	2026-09-07	initiator for rule 5006
www.google.mv	2026-09-07	initiator for rule 5006
www.google.ml	2026-09-07	initiator for rule 5006
www.google.mu	2026-09-07	initiator for rule 5006
www.google.mc	2026-09-07	initiator for rule 5006
www.google.mn	2026-09-07	initiator for rule 5006
www.google.me	2026-09-07	initiator for rule 5006
www.google.co.mz	2026-09-07	initiator for rule 5006
www.google.com.na	2026-09-07	initiator for rule 5006
www.google.co.nz	2026-09-07	initiator for rule 5006
www.google.com.pg	2026-09-07	initiator for rule 5006
www.google.com.pr	2026-09-07	initiator for rule 5006
www.google.rw	2026-09-07	initiator for rule 5006
www.google.sm	2026-09-07	initiator for rule 5006
www.google.sn	2026-09-07	initiator for rule 5006
www.google.sc	2026-09-07	initiator for rule 5006
www.google.sl	2026-09-07	initiator for rule 5006
www.google.sb	2026-09-07	initiator for rule 5006
www.google.so	2026-09-07	initiator for rule 5006
www.google.sd	2026-09-07	initiator for rule 5006
www.google.sr	2026-09-07	initiator for rule 5006
www.google.sy	2026-09-07	initiator for rule 5006
www.google.com.tj	2026-09-07	initiator for rule 5006
www.google.co.tz	2026-09-07	initiator for rule 5006
www.google.tg	2026-09-07	initiator for rule 5006
www.google.to	2026-09-07	initiator for rule 5006
www.google.tn	2026-09-07	initiator for rule 5006
www.google.tm	2026-09-07	initiator for rule 5006
www.google.tv	2026-09-07	initiator for rule 5006
www.google.co.ug	2026-09-07	initiator for rule 5006
www.google.vu	2026-09-07	initiator for rule 5006
www.google.va	2026-09-07	initiator for rule 5006
www.google.com.ye	2026-09-07	initiator for rule 5006
www.google.co.zm	2026-09-07	initiator for rule 5006
www.google.co.zw	2026-09-07	initiator for rule 5006
